transaction_id,product
1,Apples
1,Bananas
2,Chocolate
2,Dish Soap
3,Nuts
3,Wine
3,Cheddar
3,Chips
3,Milk
3,Spinach
3,Bread
3,Detergent
3,Salmon
4,Popcorn
4,Flour
5,Chips
5,Apples
5,Bananas
6,Yogurt
6,Toilet Paper
7,Cheddar
7,Eggs
7,Rice
7,Tortillas
7,Soda
7,Detergent
7,Flour
7,Dish Soap
8,Beer
8,Dish Soap
9,Yogurt
9,Onions
10,Pasta
10,Croissants
10,Flour
10,Tomato Sauce
10,Popcorn
11,Beer
11,Cream
11,Tomatoes
11,Bread
11,Soap
11,Rice
12,Diapers
12,Tofu
12,Nuts
13,Chicken
13,Onions
14,Diapers
14,Nuts
14,Cheddar
14,Spinach
14,Tomatoes
14,Tomato Sauce
14,Dish Soap
14,Sugar
15,Soap
15,Eggs
15,Salmon
15,Croissants
16,Milk
16,Cream
17,Bread
17,Chocolate
17,Water
17,Bananas
18,Muffins
18,Cream
18,Cookies
18,Tomato Sauce
18,Charcoal
19,Butter
19,Nuts
19,Chicken
19,Pasta
19,Coffee
19,Soap
19,Tomato Sauce
19,Charcoal
19,Sugar
20,Apples
20,Cookies
21,Cheddar
21,Pasta
21,Tortillas
21,Rice
21,Cookies
21,Tomato Sauce
22,Cheddar
22,Eggs
22,Apples
22,Bagels
22,Tomato Sauce
22,Onions
22,Tea
23,Nuts
23,Avocado
23,Spinach
23,Croissants
23,Tomato Sauce
23,Dish Soap
24,Beef
24,Milk
24,Yogurt
24,Flour
24,Popcorn
24,Sugar
25,Bread
25,Coffee
25,Chicken
25,Nuts
26,Soda
26,Tomatoes
27,Diapers
27,Cream
27,Water
27,Tomatoes
27,Detergent
27,Bananas
27,Popcorn
28,Muffins
28,Beef
28,Nuts
28,Cookies
28,Tomato Sauce
29,Cream
29,Toilet Paper
29,Bagels
30,Cream
30,Croissants
30,Water
30,Soda
31,Diapers
31,Beef
31,Tofu
31,Beer
31,Yogurt
31,Bagels
32,Beef
32,Chips
32,Chicken
32,Spinach
32,Water
32,Milk
32,Salmon
32,Dish Soap
33,Beef
33,Cream
33,Toilet Paper
33,Pasta
33,Flour
33,Tomato Sauce
34,Diapers
34,Eggs
34,Beer
34,Yogurt
34,Popcorn
35,Diapers
35,Avocado
35,Beer
35,Tortillas
35,Rice
35,Tea
35,Dish Soap
36,Beef
36,Beer
36,Bread
36,Detergent
36,Popcorn
36,Sugar
37,Eggs
37,Toilet Paper
37,Popcorn
38,Tofu
38,Wine
38,Cheddar
38,Chips
38,Tea
39,Diapers
39,Beef
39,Avocado
39,Eggs
39,Milk
39,Water
39,Cookies
40,Beef
40,Cheddar
40,Water
40,Tortillas
40,Soda
40,Apples
40,Cookies
41,Cheddar
41,Wine
41,Bananas
42,Water
42,Bagels
43,Wine
43,Avocado
43,Cheddar
43,Spinach
43,Yogurt
43,Soda
43,Detergent
43,Bananas
43,Tea
44,Wine
44,Cheddar
44,Bread
44,Tortillas
44,Dish Soap
44,Sugar
